iter	Passed	Remaining
205	358	1381
206	360	1381
207	361	1377
208	362	1373
209	363	1368
210	365	1364
211	366	1361
212	367	1357
213	368	1354
214	369	1349
215	370	1345
216	371	1340
217	373	1339
218	375	1338
219	376	1334
220	378	1332
221	379	1329
222	380	1326
223	382	1324
224	383	1321
225	384	1317
226	385	1313
227	387	1310
228	388	1308
229	390	1306
230	391	1303
231	392	1300
232	394	1297
233	396	1296
234	397	1294
235	398	1291
236	400	1289
237	401	1286
238	402	1282
239	404	1279
240	405	1277
241	406	1274
242	408	1271
243	409	1269
244	411	1268
245	412	1265
246	414	1263
247	415	1260
248	416	1257
249	418	1254
250	419	1251
251	420	1247
252	421	1244
253	422	1241
254	423	1237
255	424	1234
256	426	1232
257	427	1229
258	428	1227
259	430	1223
260	431	1220
261	432	1217
262	433	1214
263	434	1211
264	435	1208
265	436	1205
266	437	1202
267	439	1199
268	440	1197
269	441	1194
270	443	1191
271	444	1188
272	445	1186
273	446	1183
274	447	1180
275	448	1177
276	450	1175
277	451	1172
278	452	1169
279	453	1167
280	455	1165
281	456	1163
282	458	1160
283	459	1158
284	460	1155
285	462	1153
286	463	1150
287	464	1148
288	465	1145
289	466	1142
290	467	1139
291	469	1137
292	471	1136
293	472	1134
294	473	1132
295	475	1130
296	476	1127
297	477	1125
298	478	1122
299	480	1120
300	481	1118
301	482	1115
302	484	1113
303	485	1112
304	486	1109
305	488	1106
306	489	1104
307	490	1102
308	491	1099
309	493	1097
310	494	1095
311	495	1093
312	496	1090
313	497	1087
314	499	1086
315	500	1084
316	502	1082
317	503	1080
318	504	1077
319	506	1076
320	507	1073
321	508	1071
322	510	1069
323	511	1067
324	512	1065
325	514	1063
326	515	1061
327	517	1059
328	518	1057
329	519	1055
330	521	1054
331	522	1052
332	524	1049
333	525	1047
334	526	1045
335	528	1043
336	529	1042
337	531	1040
338	533	1039
339	534	1037
340	535	1035
341	536	1033
342	538	1030
343	539	1028
344	540	1026
345	542	1024
346	543	1023
347	545	1021
348	546	1020
349	548	1018
350	549	1015
351	550	1013
352	552	1011
353	553	1009
354	554	1007
355	555	1005
356	557	1003
357	558	1002
358	560	1000
359	561	998
360	562	996
361	564	994
362	565	992
363	566	990
364	568	988
365	569	986
366	570	984
367	571	982
368	573	980
369	574	978
370	576	976
371	577	974
372	579	973
373	580	971
374	581	969
375	582	967
376	584	965
377	585	963
378	586	961
379	588	960
380	590	958
381	591	956
382	592	954
383	593	952
384	595	950
385	596	948
386	597	946
387	598	944
388	599	942
389	600	939
390	602	938
391	603	936
392	605	935
393	606	933
394	608	931
395	609	929
396	610	927
397	612	926
398	613	923
399	614	921
400	615	919
401	617	917
402	619	917
403	620	915
404	622	914
405	623	912
406	624	910
407	625	908
408	627	906
409	628	904
410	629	902
411	631	900
412	633	900
413	634	898
414	636	896
415	637	894
416	638	892
417	639	890
418	640	888
419	642	887
420	643	885
421	644	883
422	646	881
423	648	880
424	649	879
425	651	878
426	652	876
427	654	874
428	655	872
429	656	870
430	658	868
431	659	867
432	660	865
433	662	864
434	664	862
435	665	860
436	666	858
437	668	857
438	669	855
439	670	853
440	671	851
441	673	849
442	674	848
443	675	846
444	677	844
445	678	842
446	679	840
447	680	839
448	682	836
449	683	834
450	684	833
451	685	831
452	687	829
453	688	827
454	689	825
455	691	824
456	692	823
457	694	821
458	695	819
459	696	817
460	697	815
461	698	813
462	700	812
463	701	810
464	702	808
465	704	806
466	705	804
467	706	803
468	707	801
469	709	799
470	710	797
471	711	796
472	712	794
473	714	792
474	715	790
475	716	789
476	718	787
477	719	785
478	720	783
479	722	782
480	724	781
481	725	779
482	726	777
483	728	776
484	729	774
485	730	772
486	731	770
487	733	769
488	734	767
489	735	765
490	737	764
491	738	762
492	739	760
493	741	759
494	742	757
495	743	755
496	745	754
497	746	752
498	747	750
499	748	748
500	750	747
501	751	745
502	753	744
503	754	742
504	755	740
505	757	739
506	758	737
507	759	735
508	760	734
509	762	732
510	763	730
511	765	729
512	766	727
513	768	726
514	769	724
515	770	722
516	772	721
517	773	719
518	774	717
519	775	715
520	776	714
521	777	712
522	779	710
523	780	709
524	782	707
525	783	706
526	784	704
527	786	702
528	787	700
529	788	699
530	789	697
531	790	695
532	792	693
533	793	692
534	794	690
535	796	689
536	797	687
537	798	686
538	800	684
539	801	682
540	802	680
541	803	679
542	805	677
543	806	675
544	807	674
545	808	672
546	810	671
547	812	669
548	813	668
549	814	666
550	815	664
551	816	663
552	818	661
553	819	659
554	820	658
555	822	656
556	823	654
557	825	653
558	827	652
559	828	650
560	829	649
561	831	647
562	832	645
563	833	644
564	834	642
565	836	641
566	837	639
567	838	637
568	840	636
569	841	634
570	843	633
571	844	631
572	845	630
573	847	628
574	848	627
575	849	625
576	850	623
577	852	622
578	853	620
579	855	619
580	856	617
581	857	616
582	858	614
583	860	612
584	861	611
585	862	609
586	864	608
587	865	606
588	866	604
589	869	604
590	872	604
591	874	602
592	875	601
593	877	599
594	878	597
595	879	596
596	881	594
597	882	593
598	884	591
599	886	590
600	887	589
601	888	587
602	890	585
603	891	584
604	892	582
605	893	581
606	894	579
607	895	577
608	897	576
609	898	574
610	900	573
611	902	572
612	903	570
613	905	569
614	906	567
615	907	565
616	909	564
617	911	563
618	912	561
619	914	560
620	917	559
621	918	558
622	920	556
623	921	555
624	923	553
625	924	552
626	926	550
627	927	549
628	930	548
629	931	547
630	933	545
631	934	544
632	936	542
633	937	541
634	939	539
635	940	538
636	941	536
637	943	535
638	945	534
639	947	532
640	948	531
641	950	529
642	951	528
643	952	526
644	954	525
645	955	523
646	956	521
647	957	520
648	959	518
649	960	517
650	962	515
651	963	514
652	964	512
653	966	511
654	967	509
655	968	508
656	970	506
657	972	505
658	974	504
659	975	502
660	976	500
661	977	499
662	978	497
663	980	496
664	981	494
665	982	492
666	984	491
667	985	489
668	987	488
669	988	487
670	990	485
671	991	484
672	993	482
673	994	481
674	996	479
675	998	478
676	999	476
677	1001	475
678	1002	474
679	1003	472
680	1005	470
681	1007	469
682	1008	468
683	1009	466
684	1011	465
685	1012	463
686	1013	461
687	1015	460
688	1016	458
689	1017	457
690	1019	455
691	1020	454
692	1022	452
693	1023	451
694	1024	449
695	1026	448
696	1028	446
697	1029	445
698	1031	444
699	1033	443
700	1035	441
701	1036	440
702	1037	438
703	1039	437
704	1040	435
705	1042	433
706	1043	432
707	1045	431
708	1046	429
709	1048	428
710	1049	426
711	1050	425
712	1052	423
713	1053	421
714	1054	420
715	1055	418
716	1057	417
717	1058	415
718	1059	414
719	1061	412
720	1062	411
721	1064	409
722	1065	408
723	1067	406
724	1068	405
725	1070	403
726	1071	402
727	1072	400
728	1075	399
729	1077	398
730	1078	396
731	1079	395
732	1080	393
733	1082	392
734	1083	390
735	1084	389
736	1086	387
737	1087	386
738	1088	384
739	1090	383
740	1092	381
741	1093	380
742	1094	378
743	1096	377
744	1097	375
745	1099	374
746	1100	372
747	1101	371
748	1103	369
749	1105	368
750	1107	367
751	1108	365
752	1110	364
753	1111	362
754	1113	361
755	1114	359
756	1115	358
757	1117	356
758	1118	355
759	1120	353
760	1121	352
761	1122	350
762	1124	349
763	1125	347
764	1126	346
765	1128	344
766	1130	343
767	1131	341
768	1133	340
769	1135	339
770	1136	337
771	1138	336
772	1139	334
773	1141	333
774	1143	331
775	1144	330
776	1145	328
777	1147	327
778	1148	325
779	1150	324
780	1152	323
781	1154	321
782	1155	320
783	1157	318
784	1158	317
785	1160	315
786	1162	314
787	1164	313
788	1165	311
789	1167	310
790	1168	308
791	1170	307
792	1171	305
793	1173	304
794	1174	302
795	1176	301
796	1178	300
797	1180	298
798	1182	297
799	1183	295
800	1184	294
801	1186	292
802	1187	291
803	1189	289
804	1190	288
805	1191	286
806	1195	285
807	1196	284
808	1198	282
809	1200	281
810	1201	280
811	1203	278
812	1204	277
813	1206	275
814	1207	274
815	1210	272
816	1211	271
817	1213	269
818	1214	268
819	1215	266
820	1217	265
821	1218	263
822	1219	262
823	1220	260
824	1223	259
825	1225	258
826	1227	256
827	1229	255
828	1230	253
829	1231	252
830	1232	250
831	1234	249
832	1235	247
833	1238	246
834	1240	245
835	1241	243
836	1242	242
837	1244	240
838	1245	239
839	1247	237
840	1248	236
841	1250	234
842	1252	233
843	1253	231
844	1256	230
845	1257	228
846	1259	227
847	1261	226
848	1262	224
849	1263	223
850	1265	221
851	1268	220
852	1269	218
853	1271	217
854	1273	215
855	1275	214
856	1276	212
857	1277	211
858	1278	209
859	1280	208
860	1283	207
861	1284	205
862	1286	204
863	1287	202
864	1288	201
865	1290	199
866	1291	198
867	1293	196
868	1294	195
869	1296	193
870	1298	192
871	1299	190
872	1301	189
873	1302	187
874	1303	186
875	1305	184
876	1307	183
877	1308	181
878	1310	180
879	1312	179
880	1314	177
881	1316	176
882	1317	174
883	1319	173
884	1320	171
885	1321	170
886	1323	168
887	1324	167
888	1326	165
889	1328	164
890	1329	162
891	1331	161
892	1332	159
893	1333	158
894	1335	156
895	1336	155
896	1338	153
897	1339	152
898	1341	150
899	1342	149
900	1343	147
901	1345	146
902	1346	144
903	1348	143
904	1349	141
905	1350	140
906	1351	138
907	1353	137
908	1355	135
909	1356	134
910	1358	132
911	1359	131
912	1361	129
913	1362	128
914	1364	126
915	1365	125
916	1367	123
917	1368	122
918	1370	120
919	1371	119
920	1373	117
921	1375	116
922	1376	114
923	1377	113
924	1379	111
925	1380	110
926	1381	108
927	1383	107
928	1385	105
929	1386	104
930	1388	102
931	1389	101
932	1390	99
933	1391	98
934	1393	96
935	1394	95
936	1395	93
937	1396	92
938	1398	90
939	1400	89
940	1402	87
941	1403	86
942	1405	84
943	1406	83
944	1408	81
945	1409	80
946	1410	78
947	1411	77
948	1414	76
949	1416	74
950	1417	73
951	1418	71
952	1420	70
953	1421	68
954	1422	67
955	1424	65
956	1425	64
957	1426	62
958	1429	61
959	1431	59
960	1432	58
961	1433	56
962	1434	55
963	1436	53
964	1437	52
965	1438	50
966	1439	49
967	1440	47
968	1441	46
969	1443	44
970	1444	43
971	1446	41
972	1447	40
973	1448	38
974	1449	37
975	1451	35
976	1452	34
977	1453	32
978	1454	31
979	1456	29
980	1457	28
981	1459	26
982	1460	25
983	1461	23
984	1462	22
985	1464	20
986	1465	19
987	1466	17
988	1467	16
989	1469	14
990	1470	13
991	1472	11
992	1473	10
993	1474	8
994	1476	7
995	1477	5
996	1478	4
997	1480	2
998	1481	1
999	1482	0
